Experiment,K,Overall Score,Real Coverage C_r (%),Recall@K C_t (%),Risk@C_r (%),Risk@C_t(GT) (%),Risk@C_t(Abstention) (%),Jaccard Index (C_gt ∩ C_r),Deflection Precision (%),Deflection Recall (%),Deflection F1,Deflection Accuracy (%)
InfoseekNew-BAPE-BEFT[K=2]-cont-z0-data=64000-K=1-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=256,1,28.515625,17.578125,16.796875,48.88888888888889,46.51162790697675,47.72727272727273,0.6296296296296297,95.73459715639811,94.83568075117371,0.9528301886792453,92.1875
InfoseekNew-BAPE-BEFT[K=2]-cont-z0-data=64000-K=2-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=256,2,29.296875,28.515625,24.21875,50.68493150684932,45.16129032258065,49.20634920634921,0.5697674418604651,92.89617486338798,87.62886597938144,0.9018567639257294,85.546875
InfoseekNew-BAPE-BEFT[K=2]-cont-z0-data=64000-K=3-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=256,3,28.90625,37.890625,29.296875,49.48453608247423,41.333333333333336,47.36842105263158,0.5636363636363636,91.82389937106919,80.66298342541437,0.8588235294117647,81.25
InfoseekNew-BAPE-BEFT[K=2]-cont-z0-data=64000-K=5-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=256,5,31.25,46.484375,36.71875,52.100840336134446,43.61702127659575,50.526315789473685,0.6015037593984962,89.78102189781022,75.92592592592592,0.822742474916388,79.296875
