Experiment,K,Overall Score,Real Coverage C_r (%),Recall@K C_t (%),Risk@C_r (%),Risk@C_t(GT) (%),Risk@C_t(Abstention) (%),Deflection Precision (%),Deflection Recall (%),Deflection F1,Deflection Accuracy (%)
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=1-h4-prior=prior_head-retrieved_passage-TakeN=256,1,21.09375,22.65625,16.796875,53.448275862068975,32.55813953488372,44.18604651162791,96.96969696969697,90.14084507042254,0.9343065693430657,89.453125
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=2-h4-prior=prior_head-retrieved_passage-TakeN=256,2,25.0,35.15625,24.21875,53.333333333333336,33.87096774193549,46.7741935483871,95.18072289156626,81.44329896907216,0.8777777777777778,82.8125
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=3-h4-prior=prior_head-retrieved_passage-TakeN=256,3,28.90625,46.484375,29.296875,53.78151260504202,36.0,49.33333333333333,94.8905109489051,71.8232044198895,0.8176100628930817,77.34375
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=5-h4-prior=prior_head-retrieved_passage-TakeN=256,5,28.90625,58.203125,36.71875,59.73154362416108,42.553191489361694,53.191489361702125,92.5233644859813,61.111111111111114,0.7360594795539034,72.265625
