Experiment,K,Overall Score,Real Coverage C_r (%),Recall@K C_t (%),Risk@C_r (%),Risk@C_t(GT) (%),Risk@C_t(Abstention) (%),StrictRAG Risk (%),Jaccard Index (C_gt ∩ C_r),Deflection Precision (%),Deflection Recall (%),Deflection F1,Deflection Accuracy (%),StrictRAG Accuracy (%)
InfoseekNew-BAPE-BEFT[K=2]-z0-data=64000-K=1-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=0,1,27.718776550552253,13.976210705182668,13.084112149532709,50.0,44.967532467532465,49.594813614262556,10.768903993203061,0.5964912280701754,96.54320987654322,95.5522971652004,0.96045197740113,93.16057774001699,89.23109600679695
InfoseekNew-BAPE-BEFT[K=2]-z0-data=64000-K=2-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=0,2,29.33305012744265,22.939677145284623,21.43160577740017,49.35185185185185,44.00396432111001,48.76360039564788,16.46134239592183,0.6333072713057076,94.51488423373759,92.7007299270073,0.9359901733315137,90.03823279524215,83.53865760407817
InfoseekNew-BAPE-BEFT[K=2]-z0-data=64000-K=3-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=0,3,31.011045029736618,29.927782497875953,28.24978759558199,49.68062455642299,44.661654135338345,49.062265566391595,21.920135938827524,0.6293872694824509,91.75507729615035,89.60923623445825,0.9066946233338326,86.76720475785896,78.07986406117247
InfoseekNew-BAPE-BEFT[K=2]-z0-data=64000-K=5-h4-withZ0-prior=prior_head-retrieved_passage-TakeN=0,5,34.53695836873407,38.062871707731524,36.59728122344944,48.93973214285714,44.747533372025536,48.75506658946149,28.016142735768902,0.6348837209302326,87.72290809327846,85.69514237855947,0.8669716997119131,83.32625318606627,71.9838572642311
