Experiment,K,Accuracy (%),Precision (%),Recall (%),F1,Unparsed Count,Total Samples
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=1-h4-prior=prior_head-retrieved_passage-TakeN=256,1,63.1578947368421,28.947368421052634,76.74418604651163,0.42038216560509556,9,256
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=2-h4-prior=prior_head-retrieved_passage-TakeN=256,2,67.20647773279353,39.56043956043956,58.06451612903226,0.47058823529411764,9,256
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=3-h4-prior=prior_head-retrieved_passage-TakeN=256,3,65.58704453441295,43.61702127659575,56.16438356164384,0.49101796407185627,9,256
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=5-h4-prior=prior_head-retrieved_passage-TakeN=256,5,64.77732793522267,51.37614678899083,62.22222222222222,0.5628140703517588,9,256
