Experiment,K,Overall Score,Real Coverage C_r (%),Recall@K C_t (%),Risk@C_r (%),Risk@C_t(GT) (%),Risk@C_t(Abstention) (%),Jaccard Index (C_gt ∩ C_r),Deflection Precision (%),Deflection Recall (%),Deflection F1,Deflection Accuracy (%)
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=1-h4-prior=prior_head-retrieved_passage-TakeN=256,1,21.09375,22.65625,16.796875,53.448275862068975,32.55813953488372,45.45454545454546,0.578125,96.96969696969697,90.14084507042254,0.9343065693430657,89.453125
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=2-h4-prior=prior_head-retrieved_passage-TakeN=256,2,25.0,34.765625,24.21875,52.80898876404494,33.87096774193549,47.61904761904761,0.5567010309278351,95.20958083832335,81.95876288659794,0.8808864265927978,83.203125
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=3-h4-prior=prior_head-retrieved_passage-TakeN=256,3,28.90625,46.09375,29.296875,53.38983050847458,36.0,47.36842105263158,0.544,94.92753623188406,72.37569060773481,0.8213166144200628,77.734375
InfoseekNew-BAPE-BEFT[K=2]-data=64000-K=5-h4-prior=prior_head-retrieved_passage-TakeN=256,5,28.90625,57.8125,36.71875,59.45945945945945,42.553191489361694,54.73684210526315,0.5414012738853503,91.66666666666666,61.111111111111114,0.7333333333333334,71.875
